dataset,method,K,tau,eta,nprobe,recall50,qps,avg_full_eval,rc,wall_time_sec
SPLADE-0.1M,CABS,15,0.7,0.03,15,0.9493,453.252,5656.77,0,58.54
SPLADE-0.1M,CABS,15,0.7,0.05,15,0.968,610.113,8628.82,0,59.58
SPLADE-0.1M,CABS,20,0.7,0.03,15,0.9708,355.265,7251.06,0,61.35
SPLADE-0.1M,CABS,20,0.7,0.03,20,0.9726,288.158,9089.8,0,61.35
SPLADE-0.1M,CABS,20,0.7,0.05,15,0.9708,355.265,7251.06,0,60.47
SPLADE-0.1M,CABS,20,0.7,0.05,20,0.9726,288.158,9089.8,0,60.47
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.005,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.01,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,1,0.784,219.334,19420.7,0,2279.68
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,2,0.9192,115.23,39515.2,0,2279.68
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,3,0.9597,88.0632,58870.5,0,2279.68
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,5,0.985,61.465,95345.3,0,2279.68
SPLADE-FULL (8.84M),CABS,20,0.7,0.02,8,0.9919,54.2866,145173.0,0,2279.68
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.005,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.01,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,1,0.7349,345.285,15796.7,0,1768.07
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,2,0.8747,177.875,31900.7,0,1768.07
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,3,0.9287,129.53,47454.1,0,1768.07
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,5,0.9712,60.2915,76802.4,0,1768.07
SPLADE-FULL (8.84M),CABS,20,0.8,0.02,8,0.9863,37.6756,117278.0,0,1768.07
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.005,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.01,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.7,0.02,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.005,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,1,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,2,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,3,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,5,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.01,8,N/A,N/A,N/A,-9,N/A
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,1,0.7167,688.38,9698.75,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,2,0.8577,385.788,18775.5,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,3,0.9034,270.898,27812.5,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,5,0.9608,174.139,45106.4,0,1714.7
SPLADE-FULL (8.84M),CABS,32,0.8,0.02,8,0.978,116.061,70785.9,0,1714.7
